ic calculation: SQRT
pos	Ic
40.10	8.754e-01
40.10	7.402e-01
40.10	5.464e-01
40.10	7.684e-01
40.10	5.719e-01
40.10	7.696e-01
40.10	7.266e-01
40.10	5.929e-01
40.10	7.787e-01
40.10	7.573e-01
40.10	7.880e-01
40.10	5.640e-01
40.10	9.553e-01
40.10	5.546e-01
40.10	7.140e-01
40.10	8.721e-01
40.10	5.775e-01
40.10	8.141e-01
40.10	9.495e-01
40.10	7.575e-01
40.10	7.606e-01
40.10	5.469e-01
40.10	3.756e-01
40.10	6.353e-01
40.10	5.474e-01
40.10	5.579e-01
40.10	5.993e-01
40.10	8.933e-01
40.10	7.212e-01
40.10	7.442e-01
40.10	7.478e-01
40.10	7.382e-01
40.10	8.581e-01
40.10	8.671e-01
40.10	5.805e-01
40.10	6.716e-01
40.10	8.918e-01
40.10	7.146e-01
40.10	8.391e-01
40.10	8.207e-01
40.10	5.981e-01
40.10	8.309e-01
40.10	1.030e+00
40.10	5.861e-01
40.10	7.297e-01
40.10	8.598e-01
40.10	7.788e-01
40.10	7.004e-01
40.10	5.201e-01
40.10	7.869e-01
40.10	7.126e-01
40.10	8.144e-01
40.10	7.348e-01
40.10	7.330e-01
40.10	1.075e+00
40.10	6.379e-01
40.10	6.698e-01
40.10	8.826e-01
40.10	7.562e-01
40.10	6.190e-01
40.10	7.834e-01
40.10	7.174e-01
40.10	7.946e-01
40.10	6.564e-01
40.10	8.171e-01
40.10	7.991e-01
40.10	8.199e-01
40.10	8.183e-01
40.10	6.997e-01
40.10	5.662e-01
40.10	9.074e-01
40.10	5.992e-01
40.10	6.180e-01
40.10	7.697e-01
40.10	6.400e-01
40.10	9.077e-01
40.10	7.152e-01
40.10	9.889e-01
40.10	8.822e-01
40.10	7.638e-01
40.10	9.661e-01
40.10	7.227e-01
40.10	1.099e+00
40.10	6.035e-01
40.10	8.838e-01
40.10	7.188e-01
40.10	6.319e-01
40.10	1.018e+00
40.10	7.531e-01
40.10	8.292e-01
40.10	9.185e-01
40.10	7.594e-01
40.10	6.467e-01
40.10	8.137e-01
40.10	1.155e+00
40.10	5.369e-01
40.10	6.637e-01
40.10	7.563e-01
40.10	9.456e-01
40.10	6.959e-01
40.10	8.780e-01
40.20	8.302e-01
40.20	7.595e-01
40.20	5.724e-01
40.20	6.232e-01
40.20	7.292e-01
40.20	8.243e-01
40.20	7.283e-01
40.30	7.738e-01
40.30	5.573e-01
40.30	7.291e-01
40.30	7.405e-01
40.30	1.116e+00
40.30	7.204e-01
40.40	7.259e-01
40.40	8.043e-01
40.40	7.456e-01
40.40	5.963e-01
40.40	6.572e-01
40.50	9.353e-01
40.50	7.875e-01
40.50	7.239e-01
40.50	7.066e-01
40.50	8.465e-01
40.50	8.064e-01
40.50	8.195e-01
40.60	6.904e-01
40.60	8.167e-01
40.60	7.886e-01
40.60	8.857e-01
40.60	9.053e-01
40.70	8.401e-01
40.70	1.066e+00
40.70	8.035e-01
40.70	7.254e-01
40.80	7.125e-01
40.80	7.698e-01
40.80	5.566e-01
40.80	7.637e-01
40.80	6.172e-01
40.90	7.028e-01
40.90	6.750e-01
40.90	8.231e-01
41.00	5.563e-01
41.00	8.743e-01
41.00	7.568e-01
41.10	8.198e-01
41.10	6.403e-01
41.10	7.689e-01
41.20	7.493e-01
41.20	8.709e-01
41.20	8.743e-01
41.30	7.133e-01
41.30	8.149e-01
41.40	6.657e-01
41.40	7.529e-01
41.50	5.844e-01
41.50	7.621e-01
41.50	6.067e-01
41.60	6.238e-01
41.60	1.037e+00
41.70	5.669e-01
41.70	6.439e-01
41.80	4.817e-01
41.80	9.077e-01
41.90	7.253e-01
41.90	8.814e-01
41.90	9.006e-01
42.00	5.574e-01
42.00	8.675e-01
42.00	6.899e-01
42.10	6.063e-01
42.10	8.008e-01
42.10	7.480e-01
42.20	8.827e-01
42.20	7.468e-01
42.20	8.553e-01
42.30	6.034e-01
42.30	6.701e-01
42.40	7.347e-01
42.40	4.620e-01
42.40	7.561e-01
42.50	5.540e-01
42.50	7.275e-01
42.60	7.264e-01
42.60	9.281e-01
42.70	9.378e-01
42.70	9.026e-01
42.80	5.850e-01
42.80	8.074e-01
42.80	6.917e-01
42.90	6.521e-01
43.00	5.611e-01
43.00	6.238e-01
